SaleID,CustomerID,ProductID,StoreID,SaleDate,Quantity,UnitPrice,Discount,OrderStatus,PaymentMethod
S0003104,C00878,P0200,ST005,2025-11-27,1,596.35,0.0,Returned,Card
S0004552,C00500,P0082,ST017,2026-05-11,1,1222.64,0.2,Cancelled,Bank Transfer
S0005730,C00809,P0010,ST013,2025-04-20,7,98.85,0.05,Pending,Mobile Money
S0002489,C00857,P0197,ST017,2025-02-13,8,111.43,0.2,Pending,Bank Transfer
S0006769,C00067,P0098,ST009,2026-05-24,2,809.91,0.1,Cancelled,Card
S0005152,C00495,P0084,ST020,2025-03-26,2,228.97,0.1,Completed,Bank Transfer
S0009188,C00125,P0037,ST001,2025-02-21,9,516.59,0.2,Completed,Card
S0009559,C00534,P0006,ST011,2025-07-27,1,1224.6,0.15,completed,Mobile Money
S0007719,C00624,P0167,ST015,2025-11-08,8,358.89,0.0,Cancelled,Bank Transfer
S0003813,C00342,P0136,ST014,2025-12-01,2,98.01,0.05,Returned,Bank Transfer
S0008486,C00637,P0095,ST018,2025-09-13,9,55.82,0.1,Returned,Mobile Money
S0007024,C00520,P0040,ST011,2026-05-09,8,1289.24,0.05,Completed,Cash
S0003977,C00933,P0109,ST007,2025-07-26,3,191.84,0.2,Returned,Mobile Money
S0007812,C00416,P0004,ST020,2025-05-04,10,1499.35,0.1,Pending,Card
S0003088,C00588,P0019,ST008,2026-03-15,9,713.72,0.2,Pending,Mobile Money
S0001119,C00027,P0108,ST013,2025-06-21,6,877.92,0.05,Cancelled,Card
S0004191,C00955,P0143,ST007,2025-02-23,9,1165.4,0.2,Pending,Mobile Money
S0003670,C00502,P0152,ST013,2026-06-30,10,920.0,0.1,completed,Mobile Money
S0009763,C00712,P0156,ST003,2025-04-05,3,641.78,0.2,Pending,Card
S0004486,C00512,P0161,ST010,2026-01-24,2,98.49,0.05,completed,Bank Transfer
S0001154,C00659,P0067,ST004,2026-03-11,10,923.84,0.2,Completed,Bank Transfer
S0009739,C00747,P0061,ST012,2026-06-12,9,239.67,0.2,Cancelled,Card
S0001880,C00682,P0061,ST007,2025-03-29,3,-50.0,0.05,completed,Bank Transfer
S0004315,C00949,P0120,ST010,2025-04-30,10,544.98,0.0,completed,Cash
S0004651,C00253,P0078,ST004,2026-07-29,8,913.29,0.05,completed,Card
S0008166,C00016,P0108,ST012,2025-10-31,4,876.1,0.05,Cancelled,Mobile Money
S0008619,C00815,P0193,ST007,2025-10-23,5,908.97,0.0,Completed,Bank Transfer
S0008224,C00269,P0169,ST011,2025-06-09,3,1121.58,0.05,Pending,Cash
S0004489,C00442,P0083,ST011,2025-08-17,1,1058.53,0.15,Pending,Card
S0000857,C00592,P0135,ST014,2025-12-24,9,1291.84,0.2,completed,Mobile Money
S0005510,C00080,P0191,ST017,2025-01-20,1,1381.81,0.0,completed,Cash
S0007436,C00771,P0066,ST007,2026-07-13,5,158.33,0.1,Pending,Cash
S0003082,C00766,P0033,ST017,2025-07-03,1,330.3,0.05,Returned,Bank Transfer
S0007100,C00812,P0115,ST008,2026-07-01,7,615.05,0.1,Returned,Bank Transfer
S0008870,C00158,P0094,ST011,2025-02-02,10,487.42,0.15,Pending,Cash
S0003566,C00941,P0138,ST003,2025-09-13,9,1441.84,0.15,Completed,Card
S0000320,C00404,P0024,ST011,2026-01-23,3,611.05,0.05,completed,Card
S0007269,C00538,P0148,ST017,2025-09-30,7,555.74,0.0,Pending,Bank Transfer
S0001245,,P0041,ST017,2025-07-30,6,538.1,0.2,completed,Cash
S0004098,C00848,P0116,ST019,2026-03-12,7,32.09,0.1,Returned,Card
S0000171,C00964,P0063,ST019,2026-04-09,9,1436.93,0.2,Pending,Mobile Money
S0003408,C00374,P0142,ST015,2025-05-12,8,1165.72,0.1,Returned,Cash
S0000636,C00559,P0016,ST004,2025-02-03,5,994.94,0.2,Cancelled,Bank Transfer
S0003414,C00425,P0078,ST009,2025-12-16,4,914.21,0.05,Completed,Mobile Money
S0009137,C00966,P0062,ST004,2025-07-12,2,759.85,0.15,completed,Card
S0003837,C00866,P0011,ST018,2026-07-17,8,155.13,0.2,Completed,Mobile Money
S0003843,C00701,P0019,ST013,2026-07-24,5,711.19,0.2,Pending,Bank Transfer
S0002298,C00875,P0057,ST008,2025-06-25,9,205.68,0.2,Completed,Mobile Money
S0002444,C00703,P0164,ST004,2026-03-31,2,1255.44,0.1,Completed,Card
S0003267,C00867,P0030,ST009,2025-09-11,9,1373.1,0.1,Completed,Mobile Money
S0003224,C00389,P0001,ST013,2026-05-06,7,1034.29,0.0,Cancelled,Cash
S0008069,C00738,P0197,ST017,2025-03-09,6,114.83,0.0,Cancelled,Mobile Money
S0007301,C00689,P0007,ST005,2025-07-26,9,119.44,0.0,Completed,Mobile Money
S0005861,C00214,P0018,ST014,2026-01-27,10,874.22,0.1,Pending,Cash
S0005480,C00547,P0018,ST003,2025-03-23,1,873.11,0.2,Pending,Mobile Money
S0003479,C00217,P0104,ST001,2025-08-22,3,162.84,0.05,Cancelled,Card
S0005265,C00717,P0031,ST014,2025-06-04,10,627.79,0.15,Completed,Mobile Money
S0006471,C00858,P0026,ST015,2026-04-26,9,1077.01,0.0,Cancelled,Bank Transfer
S0000304,C00331,P0065,ST002,2025-12-15,2,587.13,0.05,completed,Cash
S0002361,C00382,P0035,ST003,2025-12-20,1,303.14,0.2,Cancelled,Card
S0002937,C00109,P0036,ST012,2025-03-25,7,1280.8,0.2,Pending,Card
S0003787,C00085,P0162,ST006,2026-06-05,8,309.05,0.2,Pending,Cash
S0004241,C00682,P0027,ST004,2025-03-01,1,1025.55,0.2,completed,Bank Transfer
S0003459,C00422,P0135,ST007,2025-07-06,4,1296.33,0.1,completed,Cash
S0004772,C00510,P0102,ST004,2025-08-07,4,763.27,0.15,Completed,Mobile Money
