SaleID,CustomerID,ProductID,StoreID,SaleDate,Quantity,UnitPrice,Discount,OrderStatus,PaymentMethod
S0010001,C00112,P0062,ST016,7/18/2026,4,1760.46,0.05,Pending,Cash
S0010002,C00003,P0053,ST012,4/30/2025,5,1497.01,0.05,Cancelled,Mobile Money
S0010003,C00249,P0124,ST003,2/3/2025,1,639.12,0.05,completed,Mobile Money
S0010004,C00760,P0110,ST018,3/14/2026,0,1364.85,0.2,completed,Mobile Money
S0010005,C00116,P0140,ST003,4/24/2025,7,1313.94,0.05,Pending,Bank Transfer
S0010006,C00991,P0131,ST018,8/14/2025,-5,1295.76,0.05,Pending,Mobile Money
S0010007,C00668,P0023,ST005,7/19/2026,-5,840.75,0.2,Pending,Bank Transfer
S0010008,C00348,P0182,ST020,5/12/2026,1,552.85,0.2,Cancelled,Mobile Money
S0010009,C00743,P0060,ST019,12/29/2025,-1,732.37,0,completed,Card
S0010010,C00188,P0021,ST014,3/22/2025,4,1310.92,0.2,Completed,Card
S0010011,C00517,P0196,ST006,2/27/2025,2,504.02,0.1,Completed,Bank Transfer
S0010012,C00081,P0050,ST019,11/25/2025,7,341.72,0.05,Pending,Bank Transfer
S0010013,C00635,P0125,ST016,2/11/2025,8,648.15,0.1,Cancelled,Mobile Money
S0010014,C00398,P0083,ST013,2/3/2026,1,1057.36,0.2,Cancelled,Mobile Money
S0010015,C00272,P0010,ST007,11/5/2025,3,100.87,0.05,completed,Mobile Money
S0010016,C00378,P0187,ST001,6/30/2026,2,388.28,0.1,Completed,Mobile Money
S0010017,C00930,P0041,ST001,1/22/2026,5,540.31,0.1,Completed,Bank Transfer
S0010018,C00496,P0054,ST015,3/14/2026,4,99.9,0.1,Pending,Bank Transfer
S0010019,C00435,P0069,ST012,4/6/2025,4,1358.31,0.15,completed,Card
S0010020,C00262,P0097,ST001,3/17/2026,1,1375.57,0.05,Cancelled,Mobile Money
